feature,value,F,P,T
attn_0_2_outputs,<pad>,0.43491057,0.89984334,0.40227133
attn_0_2_outputs,<s>,0.16068465,0.30915737,-0.7743948
attn_0_2_outputs,_,0.064846866,0.009937846,0.3344479
attn_0_2_outputs,_,0.25148335,0.55294245,-0.0551129
attn_0_2_outputs,_,0.41125783,0.12946437,0.57533807
attn_0_2_outputs,_,0.41143548,0.31749454,-0.8087648
attn_0_2_outputs,_,-0.8958264,-0.2338029,-0.3502809
attn_0_2_outputs,_,0.46147498,-0.4874241,0.73654544
attn_0_2_outputs,_,-0.15246001,-0.0441084,-0.7966117
attn_0_2_outputs,_,0.45766017,-0.37323242,-0.7661417
attn_0_2_outputs,_,-0.1965584,-0.24966645,-0.35116124
attn_0_2_outputs,_,0.5594398,-0.27316606,-0.9830635
attn_0_2_outputs,_,0.6351031,-0.74144036,-0.5915298
attn_0_2_outputs,_,0.076292254,0.54933006,-0.80071205
attn_0_3_outputs,(,0.61550593,-0.11742628,0.1144875
attn_0_3_outputs,),0.32457033,-0.6323265,-0.0038384493
attn_0_3_outputs,<pad>,0.4341716,0.19297843,-0.10215118
attn_0_3_outputs,<s>,0.26825097,-0.39731663,-0.075495034
attn_0_3_outputs,_,0.20072082,0.05152164,-0.6277431
attn_0_3_outputs,_,-0.38157558,-0.016300537,-0.0816362
attn_0_3_outputs,_,-0.17850995,0.7007717,-0.85848695
attn_0_3_outputs,_,0.47919494,-0.31093702,-1.0519636
attn_0_3_outputs,_,0.29984948,0.44980752,-0.98149407
attn_0_3_outputs,_,-0.23576884,-0.23493463,-0.4121711
attn_0_3_outputs,_,0.75133127,0.4171664,0.325296
attn_0_3_outputs,_,-0.013619796,-0.73012716,-0.77403414
attn_0_3_outputs,_,0.080666766,-0.18983029,-0.35686162
attn_0_3_outputs,_,-0.5742397,-0.4147984,0.19924027
attn_0_3_outputs,_,0.103595085,-0.96975267,0.51926064
attn_0_3_outputs,_,-0.025155129,0.14533958,-0.38652194
attn_1_0_outputs,(,-0.6087141,1.0801277,1.0230632
attn_1_0_outputs,),3.318415,-3.9846907,-3.1068168
attn_1_0_outputs,<pad>,-0.49215344,0.17373218,0.36681363
attn_1_0_outputs,<s>,-0.48598024,0.42316145,0.4104037
attn_1_0_outputs,_,0.39339176,0.90269905,-0.53048575
attn_1_0_outputs,_,0.12617537,-0.04873939,-0.022794629
attn_1_0_outputs,_,-0.45408925,0.1559568,0.14830998
attn_1_0_outputs,_,0.21453321,-0.11898694,-0.37060767
attn_1_0_outputs,_,0.6424685,-0.46202984,0.28247884
attn_1_0_outputs,_,0.5102723,-0.11924825,-0.08867935
attn_1_0_outputs,_,-0.81702775,-0.27627772,0.10388652
attn_1_0_outputs,_,-0.353467,-0.083472215,-0.11861573
attn_1_0_outputs,_,-0.104333244,0.43661335,0.19895476
attn_1_0_outputs,_,0.27937022,0.2229362,-0.38188523
attn_1_0_outputs,_,0.28504843,0.20127288,-0.3983724
attn_1_0_outputs,_,0.09280487,0.6058047,0.4596682
attn_1_1_outputs,(,-0.19702613,-0.14510927,-0.51009196
attn_1_1_outputs,),1.3491455,0.3478238,0.9827608
attn_1_1_outputs,<pad>,-0.1902825,-0.19416441,-0.23692855
attn_1_1_outputs,<s>,0.022635322,-0.559373,-0.15149449
attn_1_1_outputs,_,0.92441607,0.4346675,0.012525666
attn_1_1_outputs,_,-1.3085604,0.3666773,-0.13644421
attn_1_1_outputs,_,-0.22623579,-0.18504816,0.19204879
attn_1_1_outputs,_,0.8927423,-0.8579674,-0.19150668
attn_1_1_outputs,_,-0.10283957,-1.3145558,-0.35851738
attn_1_1_outputs,_,-0.35322034,-0.58707595,-0.11543867
attn_1_1_outputs,_,0.41685334,-0.3100338,0.16605163
attn_1_1_outputs,_,0.42197916,-0.60030943,-0.8340478
attn_1_1_outputs,_,-0.5328612,0.08305684,-0.32326862
attn_1_1_outputs,_,-0.042432938,-0.12546179,0.38107276
attn_1_1_outputs,_,0.13082112,-0.35015664,-0.25138143
attn_1_1_outputs,_,-0.5055758,-0.018635672,0.19102083
attn_1_2_outputs,(,0.03694864,0.06629849,-0.46495527
attn_1_2_outputs,),0.5494941,-0.7392365,-0.15946183
attn_1_2_outputs,<pad>,0.21577285,1.371578,0.64237916
attn_1_2_outputs,<s>,0.17270002,-0.6066865,-0.8751074
attn_1_2_outputs,_,-0.06991441,-0.02288545,-0.28148127
attn_1_2_outputs,_,0.6162033,-0.58966887,-0.9758095
attn_1_2_outputs,_,-0.42079085,-0.2602984,-0.59836906
attn_1_2_outputs,_,-0.5596524,0.40926075,-0.3402158
attn_1_2_outputs,_,-0.17772841,-0.40469053,-0.8724024
attn_1_2_outputs,_,0.27916226,-0.054805886,0.09130955
attn_1_2_outputs,_,-0.62996155,0.3282365,0.4978012
attn_1_2_outputs,_,-0.22428975,-0.40032667,-1.2835221
attn_1_2_outputs,_,-1.3156855,1.0952204,-0.41366678
attn_1_2_outputs,_,-0.0003150179,-0.608437,0.18528923
attn_1_2_outputs,_,0.31437126,0.05452238,-0.6285196
attn_1_2_outputs,_,0.38879776,0.44433215,0.41482833
attn_1_3_outputs,(,-0.10227196,-0.05023658,0.4755619
attn_1_3_outputs,),0.623793,-1.1576641,-0.92924917
attn_1_3_outputs,<pad>,0.16352734,0.39717788,0.5923724
attn_1_3_outputs,<s>,-0.18645827,0.48149484,-0.48941794
attn_1_3_outputs,_,-0.28251302,-0.5816096,-0.18203783
attn_1_3_outputs,_,-0.45915115,-0.17836732,1.1453391
attn_1_3_outputs,_,0.31368402,0.2389661,0.30351105
attn_1_3_outputs,_,0.66934323,0.1530068,-0.6315597
attn_1_3_outputs,_,-0.4011778,0.28488478,-0.08354601
attn_1_3_outputs,_,-0.34324384,-0.03840682,0.6395584
attn_1_3_outputs,_,-0.20155358,0.037654195,-0.27370092
attn_1_3_outputs,_,-0.020241646,-0.19131921,-0.6218397
attn_1_3_outputs,_,0.25507125,0.51597315,0.21438272
attn_1_3_outputs,_,-0.21841748,0.43855754,0.09094107
attn_1_3_outputs,_,0.38175154,0.24839693,-1.2469798
attn_1_3_outputs,_,-0.12102835,0.011394852,0.6804625
attn_2_0_outputs,(,-1.7980366,2.1138713,1.2089174
attn_2_0_outputs,),5.805389,-6.695771,-2.5989363
attn_2_0_outputs,<pad>,-0.32111064,0.4690505,0.16905479
attn_2_0_outputs,<s>,4.7760262,-2.6359994,-4.1869707
attn_2_0_outputs,_,-0.71528715,2.6269932,0.76523894
attn_2_0_outputs,_,0.04335352,1.7774359,1.0599347
attn_2_0_outputs,_,0.8103607,-1.3005797,-0.37963027
attn_2_0_outputs,_,-1.669354,1.8755045,0.511969
attn_2_0_outputs,_,-1.218952,0.38388726,-0.35762697
attn_2_0_outputs,_,-0.24084574,-0.08488206,-0.0707143
attn_2_0_outputs,_,-0.020691486,0.42984748,0.49192894
attn_2_0_outputs,_,-0.09020811,-0.51804966,0.06184559
attn_2_0_outputs,_,-1.3721492,1.351482,0.63308924
attn_2_0_outputs,_,1.2877959,-1.925459,-0.54841787
attn_2_0_outputs,_,0.38038647,-0.75804955,0.34355205
attn_2_0_outputs,_,0.34976742,-1.5545503,-0.98623735
attn_2_1_outputs,(,-0.10248824,0.6669389,1.6764289
attn_2_1_outputs,),0.040254623,-0.1303109,-0.5715628
attn_2_1_outputs,<pad>,0.63892174,0.10117424,-0.3424678
attn_2_1_outputs,<s>,-0.12474304,-0.2811668,-0.84108955
attn_2_1_outputs,_,-0.3269768,0.6920366,0.15227786
attn_2_1_outputs,_,0.58872086,0.41455913,-0.33059657
attn_2_1_outputs,_,0.48560566,-0.3121511,-0.57657707
attn_2_1_outputs,_,-0.89395595,0.5326301,-0.6148757
attn_2_1_outputs,_,-0.09245325,-0.13206504,0.2626746
attn_2_1_outputs,_,-0.44250098,0.2761707,0.48791304
attn_2_1_outputs,_,-0.26713878,-0.6633577,0.6749872
attn_2_1_outputs,_,0.4392902,-0.015603449,-0.35620996
attn_2_1_outputs,_,-1.082897,0.95378655,-0.10631416
attn_2_1_outputs,_,3.5253344,-4.6960206,-1.3619848
attn_2_1_outputs,_,0.3871053,-0.6363062,-0.101142384
attn_2_1_outputs,_,0.9742,-0.17767368,-0.11253259
attn_2_2_outputs,(,-0.14695393,0.5663786,0.016057935
attn_2_2_outputs,),0.3710336,0.08571684,-0.6765334
attn_2_2_outputs,<pad>,0.25102845,0.23037234,0.33935058
attn_2_2_outputs,<s>,-1.1945678,0.8718414,-0.041484877
attn_2_2_outputs,_,-0.5912853,0.8713169,-0.37836868
attn_2_2_outputs,_,-0.35991225,0.8368793,-0.4995697
attn_2_2_outputs,_,0.53066725,-0.6749829,-0.45090222
attn_2_2_outputs,_,-0.72280055,0.48025274,0.34157524
attn_2_2_outputs,_,-0.0013256404,-0.39002424,0.7004634
attn_2_2_outputs,_,0.44968477,-0.32473466,-0.15218055
attn_2_2_outputs,_,0.012091489,0.8519056,0.09814494
attn_2_2_outputs,_,-1.0138371,0.56735814,1.3323628
attn_2_2_outputs,_,-1.042629,1.2067233,0.2560394
attn_2_2_outputs,_,1.3251725,-1.6239493,-0.64279896
attn_2_2_outputs,_,-0.4986958,-0.28949744,0.49259856
attn_2_2_outputs,_,0.23251799,-0.86226267,-0.24916904
attn_2_3_outputs,(,-0.61728215,0.40540373,0.19386055
attn_2_3_outputs,),1.5178654,-0.9297673,0.2466505
attn_2_3_outputs,<pad>,0.32026666,-0.17127673,0.36103955
attn_2_3_outputs,<s>,-0.16906226,-0.009520193,0.3729448
attn_2_3_outputs,_,-1.8561678,1.7203265,-0.32736278
attn_2_3_outputs,_,0.45470804,0.054204993,-0.12818547
attn_2_3_outputs,_,1.0156564,-0.6261632,-0.52422935
attn_2_3_outputs,_,-1.1527762,0.8394962,1.2537079
attn_2_3_outputs,_,0.03313892,-0.21743198,1.0269544
attn_2_3_outputs,_,0.04670828,-0.09608784,0.45123467
attn_2_3_outputs,_,0.28930348,-0.10763543,-0.04577376
attn_2_3_outputs,_,-0.67350215,-0.22950478,0.76843935
attn_2_3_outputs,_,-0.63520116,0.83838433,0.7461987
attn_2_3_outputs,_,2.5013435,-2.5656536,-0.9126652
attn_2_3_outputs,_,0.20574188,-0.5669469,-0.34868604
attn_2_3_outputs,_,0.28675708,-0.4900524,-0.2657135
mlp_0_0_outputs,0,1.7286379,-1.1260582,0.0055575958
mlp_0_0_outputs,1,-3.2036226,2.3416214,2.7735486
mlp_0_0_outputs,10,-0.43592015,0.6223976,-0.393285
mlp_0_0_outputs,11,0.54044026,-0.0062158806,0.54524916
mlp_0_0_outputs,12,-1.9757335,1.746924,0.7426202
mlp_0_0_outputs,13,-0.81685716,1.8415459,-0.21116905
mlp_0_0_outputs,14,-0.08482512,0.3423783,0.13664682
mlp_0_0_outputs,15,3.3956501,-4.294466,-0.9830806
mlp_0_0_outputs,2,1.1139538,-0.98962665,0.6136351
mlp_0_0_outputs,3,-0.71481776,-0.36129355,0.08815537
mlp_0_0_outputs,4,-0.048894357,-0.78264,-0.3000643
mlp_0_0_outputs,5,0.13983479,0.6125048,0.6673899
mlp_0_0_outputs,6,1.8831059,-1.9624841,-0.7253647
mlp_0_0_outputs,7,-0.09330796,-0.56240684,-0.23866339
mlp_0_0_outputs,8,-0.17680903,0.83480203,0.94526976
mlp_0_0_outputs,9,0.1324731,-0.23523042,-0.56961066
mlp_1_0_outputs,0,0.7969259,-0.5826496,0.1367536
mlp_1_0_outputs,1,0.16024621,-0.017954886,0.3553253
mlp_1_0_outputs,10,0.5632191,1.2443361,-0.17812285
mlp_1_0_outputs,11,0.15749738,-0.30650905,-0.20543304
mlp_1_0_outputs,12,-0.36870018,-0.41766542,0.4312526
mlp_1_0_outputs,13,-0.39142677,-0.11944331,-0.6398437
mlp_1_0_outputs,14,-0.065813914,-0.2809212,-0.51475286
mlp_1_0_outputs,15,-0.2069523,1.1840916,-0.07830122
mlp_1_0_outputs,2,-1.6220521,1.2782339,0.22628613
mlp_1_0_outputs,3,-0.8399647,0.23430075,0.025599806
mlp_1_0_outputs,4,0.8586885,-0.14620921,0.4858248
mlp_1_0_outputs,5,-0.5402946,0.64501625,0.6523974
mlp_1_0_outputs,6,-0.012936295,0.13481945,-0.8671662
mlp_1_0_outputs,7,-0.2593019,0.40271693,-0.13425264
mlp_1_0_outputs,8,-0.41095114,1.3202658,1.0046178
mlp_1_0_outputs,9,0.67794585,0.003735633,0.33480987
mlp_2_0_outputs,0,1.2900758,-0.32946634,0.038874563
mlp_2_0_outputs,1,-1.1112615,1.0174267,0.3954561
mlp_2_0_outputs,10,-0.14274377,1.0042939,-0.97072154
mlp_2_0_outputs,11,5.8910055,-7.087814,-2.829709
mlp_2_0_outputs,12,3.7484474,-4.515166,-1.2284027
mlp_2_0_outputs,13,-1.4519279,-0.1582528,-0.7140685
mlp_2_0_outputs,14,-1.6615714,1.5622398,0.37997037
mlp_2_0_outputs,15,-0.39896154,0.2997645,-0.2530986
mlp_2_0_outputs,2,-1.6625001,1.1531683,-0.08310646
mlp_2_0_outputs,3,-1.2950419,0.91948795,0.5427307
mlp_2_0_outputs,4,1.7615759,-0.0483479,-0.7140467
mlp_2_0_outputs,5,-0.9776573,0.4468698,0.03798231
mlp_2_0_outputs,6,0.389728,-0.65433663,0.08239644
mlp_2_0_outputs,7,0.65184283,0.3332076,-0.92062557
mlp_2_0_outputs,8,-0.39309788,1.5458341,0.8756555
mlp_2_0_outputs,9,-0.6713502,-0.43552977,0.0411239
num_attn_0_0_outputs,_,-0.18131645,-1.3795047,-0.32783598
num_attn_0_1_outputs,_,1.6832346,-3.2898576,1.2027373
num_attn_0_2_outputs,_,0.42689976,-1.7662328,1.0797609
num_attn_0_3_outputs,_,0.90582126,1.1386467,-4.033664
num_attn_1_0_outputs,_,-0.9849197,0.9207567,0.7044517
num_attn_1_1_outputs,_,-1.2286992,0.76316345,2.8618991
num_attn_1_2_outputs,_,-0.7924971,1.4662853,-2.346627
num_attn_1_3_outputs,_,0.90213585,1.0287691,0.9673442
num_attn_2_0_outputs,_,1.3601023,-0.50183374,-0.468055
num_attn_2_1_outputs,_,1.2922009,-0.46082073,0.028372258
num_attn_2_2_outputs,_,0.53961486,-0.27146643,-0.4635335
num_attn_2_3_outputs,_,-0.22252227,0.4579792,0.36170694
num_mlp_0_0_outputs,0,-0.39121342,-0.0653059,-0.100974955
num_mlp_0_0_outputs,1,-0.6236358,2.064944,-0.7014613
num_mlp_0_0_outputs,10,-0.70585376,1.8942058,-2.6638422
num_mlp_0_0_outputs,11,0.64453983,0.760729,0.90366894
num_mlp_0_0_outputs,12,-0.20344286,2.300899,-2.084325
num_mlp_0_0_outputs,13,0.08739214,-0.68848443,-0.6650525
num_mlp_0_0_outputs,14,-0.87863356,3.0324533,-1.235794
num_mlp_0_0_outputs,15,-0.23461072,1.1937329,-0.7106494
num_mlp_0_0_outputs,2,2.3411963,-0.75188375,-3.374356
num_mlp_0_0_outputs,3,0.105498485,2.0969694,-1.7992303
num_mlp_0_0_outputs,4,-0.22659352,1.7690793,-1.4149835
num_mlp_0_0_outputs,5,0.27812487,0.68369263,0.51119584
num_mlp_0_0_outputs,6,2.410401,-4.4296904,4.5732555
num_mlp_0_0_outputs,7,0.033087827,0.48371294,0.33079723
num_mlp_0_0_outputs,8,-0.30767316,1.6001856,-2.5727072
num_mlp_0_0_outputs,9,-0.059207346,0.04698457,0.26469263
num_mlp_1_0_outputs,0,0.7907766,-0.081877366,-0.6965091
num_mlp_1_0_outputs,1,-0.8791772,0.9429765,0.3288179
num_mlp_1_0_outputs,10,-0.14115128,1.084139,0.54515004
num_mlp_1_0_outputs,11,0.46044123,0.8594012,0.42634133
num_mlp_1_0_outputs,12,-0.21764791,0.1816124,-0.18849565
num_mlp_1_0_outputs,13,-0.24448946,1.1390779,0.45879546
num_mlp_1_0_outputs,14,0.5966136,0.018754274,0.009756639
num_mlp_1_0_outputs,15,-0.2188284,0.08843821,-0.5992348
num_mlp_1_0_outputs,2,0.39265713,0.054522492,-0.08082102
num_mlp_1_0_outputs,3,-1.0609757,-0.16833954,-0.5020436
num_mlp_1_0_outputs,4,-0.25812066,-0.035986513,0.047015853
num_mlp_1_0_outputs,5,0.34871852,-0.29752302,-0.37936777
num_mlp_1_0_outputs,6,0.030039938,-0.12960236,-0.8416486
num_mlp_1_0_outputs,7,0.7426693,-0.6113294,-0.48143408
num_mlp_1_0_outputs,8,0.8169312,-0.31319636,-0.15100363
num_mlp_1_0_outputs,9,0.5182849,0.43166053,-0.46073398
num_mlp_2_0_outputs,0,-0.26500255,0.5158197,-0.6384701
num_mlp_2_0_outputs,1,-0.1516937,0.42215213,-0.78454834
num_mlp_2_0_outputs,10,0.2487735,0.55007553,-0.43375266
num_mlp_2_0_outputs,11,-0.25232607,0.28560862,-0.4438772
num_mlp_2_0_outputs,12,-0.027110979,0.8000857,-0.25059277
num_mlp_2_0_outputs,13,0.082653604,0.90607816,-0.2662322
num_mlp_2_0_outputs,14,-0.2805646,0.45996428,-0.7726083
num_mlp_2_0_outputs,15,-0.011577146,0.35846546,-0.48828146
num_mlp_2_0_outputs,2,-0.284952,0.52077246,-0.57796353
num_mlp_2_0_outputs,3,0.5023184,1.190886,0.07376793
num_mlp_2_0_outputs,4,0.67211044,-1.1485592,-0.6096487
num_mlp_2_0_outputs,5,0.10876762,0.9748168,-0.21792793
num_mlp_2_0_outputs,6,0.06575137,0.92604023,-0.23282129
num_mlp_2_0_outputs,7,-0.10035373,0.6611996,-0.28826684
num_mlp_2_0_outputs,8,-0.25220564,0.49369645,-0.697985
num_mlp_2_0_outputs,9,-0.64522654,0.0016858517,-1.1529729
ones,_,-0.0131865665,-0.60245264,-0.50562435
positions,0,0.2153362,-0.35022056,-0.42673415
positions,1,-2.117855,2.5532062,-2.398857
positions,10,-1.9523379,-0.20393772,3.1681108
positions,11,3.435892,-2.2448206,-2.2126045
positions,12,-1.178556,-0.9270573,4.523139
positions,13,6.0582137,-5.0640244,-1.8509225
positions,14,0.3069622,-2.3797162,6.9876695
positions,15,5.3735695,-4.190489,-2.1280673
positions,2,-4.239635,3.113249,1.1321317
positions,3,-4.1650157,8.292353,-4.3261337
positions,4,-5.388258,5.5953937,-2.4591656
positions,5,-5.931629,12.062455,-8.083212
positions,6,-5.88986,8.893971,-0.9925875
positions,7,0.5360263,1.3750162,-2.2841685
positions,8,-2.952412,8.821475,-4.63299
positions,9,1.0713346,0.49358493,-3.1490636
tokens,(,2.4957218,0.5513617,-5.234046
tokens,),-1.1258179,-1.8506225,2.9960005
tokens,<pad>,0.08834812,0.5635311,-1.0103904
tokens,<s>,0.3680088,-0.22494148,-0.6728297
tokens,_,-0.34795213,-0.05063231,0.11993406
tokens,_,0.45391572,-1.2317159,-0.0065638693
tokens,_,-0.7975689,-0.40238288,0.040084247
tokens,_,1.0641683,0.45087737,0.30417815
tokens,_,-0.001893065,0.9747941,-0.29877132
tokens,_,0.07596118,0.47878638,0.11741481
tokens,_,-0.028396942,-0.3955311,0.352603
tokens,_,0.1415885,0.26983833,-0.3107607
tokens,_,0.09543388,0.27171624,0.5022225
tokens,_,0.31025514,-0.3586119,-0.18163869
tokens,_,-0.39096484,0.53885674,-0.00091504096
tokens,_,0.18694027,-0.28786477,-0.91816825
