feature,value,1,2,3,4,5,6,7,8,9
mlp_0_0_outputs,7,0.16848947,0.33714288,0.41035622,-0.36595646,0.037102707,-0.39739397,-0.45309973,0.067807786,-0.13350628
mlp_0_0_outputs,8,5.1229467,5.5304985,14.119769,4.3979964,-3.4807196,-10.936328,-16.898832,-21.538843,-17.707981
mlp_0_0_outputs,9,0.25976476,0.12641285,0.2610286,-0.36744064,-0.0833638,-0.37730196,-0.36694828,-0.39020038,-0.89126265
num_attn_0_0_outputs,_,-3.451808,-2.207405,-11.235642,-4.475651,0.8425797,4.596541,6.656448,7.372321,4.9744782
num_attn_0_1_outputs,_,3.5136704,3.3700378,11.475764,5.9679694,-0.92722905,-7.1657043,-10.814867,-12.160661,-8.508192
num_attn_0_2_outputs,_,-1.3552934,-2.160038,-11.574028,-4.4190598,0.88226175,4.458254,6.650967,7.1876283,5.927108
num_attn_0_3_outputs,_,4.0231194,3.5099838,11.914647,5.548469,-0.84390956,-6.921791,-11.44749,-12.213732,-7.75326
num_mlp_0_0_outputs,0,1.4662315,1.7795062,-0.39498892,-0.9251474,-1.0531573,-0.8304176,-0.9070558,-0.20968188,-0.85389316
num_mlp_0_0_outputs,1,1.6903934,1.0972116,-0.10176486,-0.37511104,-0.99616784,-0.6844845,-0.93167955,-0.9584336,-0.5676108
num_mlp_0_0_outputs,10,1.108561,0.4972324,-0.28834853,-0.51372933,-0.5013825,-0.6597986,-0.2743274,0.30279806,-0.5445011
num_mlp_0_0_outputs,11,3.2952368,0.57186586,-1.2021263,-1.1482223,-0.98428553,-0.8044035,-0.89664793,-0.49652755,-0.58728594
num_mlp_0_0_outputs,12,1.3701764,0.6832166,0.09718569,-0.92128116,-1.0009139,-1.1462588,-0.573583,-0.5351778,-0.08890494
num_mlp_0_0_outputs,13,0.045896284,-0.12989229,0.5272941,-0.90625495,-0.6141185,-0.20201795,-0.7852488,-0.86368674,-0.444654
num_mlp_0_0_outputs,14,0.31573895,0.28742266,-0.24058273,0.32403097,-0.27306408,0.14598317,-0.4167972,-0.4802785,-0.2842927
num_mlp_0_0_outputs,15,0.5009011,0.33900088,0.63901454,-0.8703543,-0.22381617,-0.78885555,-0.057624575,-0.08088239,-0.5559624
num_mlp_0_0_outputs,2,-0.8564015,12.381659,-4.4161677,-14.244778,-6.4757476,-4.6526165,-3.984629,-3.7333379,-2.6888618
num_mlp_0_0_outputs,3,13.234523,-1.6825674,-21.592894,-3.4991415,-1.4751946,-1.5305055,-1.3279405,-0.71147203,-0.06354166
num_mlp_0_0_outputs,4,0.21968906,0.042867187,-0.40122697,-0.32897884,-0.28507668,-0.29194975,-0.5018046,-1.051625,-0.046580132
num_mlp_0_0_outputs,5,0.026072968,0.055328693,-0.21878956,-0.17162916,-0.21902259,-0.56945765,-0.55549896,0.24603498,-0.96969014
num_mlp_0_0_outputs,6,0.23568249,-0.10528554,-0.0677749,0.12834294,-0.86863244,-0.14363906,0.06874138,-0.803665,-1.2073736
num_mlp_0_0_outputs,7,0.5276827,0.71185213,0.17210723,-0.4577971,0.10500481,-0.8159943,-0.40435764,-0.5744583,-0.5239402
num_mlp_0_0_outputs,8,0.9600421,0.35956347,-0.4231685,-0.16355817,-0.50001824,-0.7150134,-0.5445362,-0.14142922,-0.13566896
num_mlp_0_0_outputs,9,-7.3808928,-9.167617,25.487537,11.525579,-0.0075049684,-8.410365,-14.766502,-19.352818,-15.180844
ones,_,3.1193113,2.6721528,10.518779,5.164719,-1.1240143,-6.413863,-9.433171,-9.197292,-6.266297
positions,0,0.35514677,-0.6127455,0.05523803,0.100208536,-0.20906623,0.11311022,-0.057937868,0.06712881,0.32576934
positions,1,2.1630075,2.642853,7.8700566,3.744028,-1.6178211,-5.6174,-8.259814,-8.395504,-5.7581916
positions,10,1.2533807,2.0844343,7.8851967,3.8959863,-1.4180386,-5.327801,-8.082587,-7.9510736,-5.383403
positions,11,1.6042655,2.7045574,8.429693,4.4583054,-0.8262204,-4.713776,-7.3947406,-7.099017,-8.716808
positions,12,1.7858622,2.5865715,8.650556,4.709096,-0.48811826,-4.4599867,-7.0038905,-7.0598197,-5.2026176
positions,13,2.1173582,2.8190813,9.247571,5.3702784,0.17187789,-3.6394086,-6.467139,-5.9829903,-3.6482866
positions,14,2.0672715,2.7788804,9.335777,5.508291,0.3420197,-3.4719167,-6.181196,-5.5992074,-3.8623326
positions,15,1.9809344,2.577893,9.47786,5.6951585,0.67940295,-3.092665,-5.9446254,-5.1897826,-3.053619
positions,2,2.2926755,2.9037528,8.066028,3.926087,-1.4270679,-5.4098406,-8.056233,-7.9369802,-6.426929
positions,3,2.0407634,2.5911949,7.835832,3.7253277,-1.6097738,-5.637248,-8.156902,-8.191603,-5.878447
positions,4,2.2947905,2.83732,8.092803,3.9639318,-1.3862782,-5.3777504,-8.107174,-7.7817364,-5.526921
positions,5,1.9130225,2.37961,7.656165,3.5201247,-1.8638281,-5.802926,-8.609877,-8.403594,-6.589457
positions,6,1.5992552,2.2182686,7.546683,3.43437,-1.9162093,-5.920613,-8.523746,-8.365309,-6.620939
positions,7,2.1793642,2.839555,8.25693,4.166366,-1.1958159,-5.1761475,-7.793226,-8.380016,-6.003292
positions,8,1.4820849,2.1079614,7.728107,3.6508825,-1.669689,-5.6344333,-8.288803,-7.907366,-8.756648
positions,9,1.4934711,2.3012183,7.9626913,3.9266016,-1.3474717,-5.3217077,-7.957406,-7.831825,-6.178214
tokens,0,2.80138,2.4863727,7.3927526,3.2211504,-0.7562913,-4.35473,-5.930842,-6.4653234,-3.4838758
tokens,1,1.380096,2.1922553,6.749966,2.6512017,-1.4000101,-4.9743576,-6.5082493,-6.608102,-7.124322
tokens,2,1.9523873,2.8736258,7.3704543,3.3207388,-0.6625843,-4.386459,-5.8182616,-7.3412986,-3.0151954
tokens,3,2.755011,2.4385953,7.2702303,3.107146,-0.94025105,-4.5229554,-5.873133,-5.9281826,-7.7018347
tokens,4,2.8574069,2.5652578,7.387719,3.2087576,-0.8888857,-4.437969,-5.762844,-6.263494,-7.1365385
tokens,5,2.3806474,2.3514342,7.014661,2.8674319,-1.2107693,-4.7895484,-6.1222386,-7.435975,-7.145079
tokens,<pad>,-0.25042894,0.5720095,0.29043153,-0.16610496,-1.3767073,-0.36362854,-1.0786895,-0.2518519,-0.40461683
tokens,<s>,0.24289277,0.45912582,0.2366544,0.15731025,-0.41470286,-0.7215203,-0.31596524,-0.74860716,-0.21235439
tokens,_,0.27782512,0.149807,0.9152869,-0.43270975,-0.68941617,-0.71165407,-1.3377514,-0.41653556,-0.63153434
tokens,_,0.78227276,0.2577329,0.63463414,-0.39093807,-1.1147231,-0.9513346,-0.8927775,-0.96388876,-0.7731195
tokens,_,0.33569673,0.506723,0.11039245,-0.8259965,-0.41121376,-0.6774188,-1.1717781,-0.4775353,-0.47454202
tokens,_,0.5226739,0.11825446,0.45342728,-0.101893656,-0.73164064,-1.4254566,-0.95596427,-0.018979471,-0.63031054
tokens,_,1.1527909,1.005169,0.8325507,0.15376799,-0.59295106,-0.9158,-0.15099509,-0.35404602,-0.4990876
tokens,_,0.34487417,0.34556478,0.9841479,0.3047114,-0.777231,-0.49863818,-0.94984365,-0.66167116,0.11180794
tokens,_,0.68632346,0.48225942,0.73795,-0.24172872,-1.0456048,-0.7316842,-1.0854393,-0.0476916,-0.3882179
tokens,_,0.6172494,0.87367153,0.97718525,-0.15904073,-0.76544434,-0.7590818,-0.9179601,-0.69032234,-0.72155577
